Timestamp,Username,Location,Machine ID
"11/11/2025, 2:31:52 PM",admin,"Amrut Nagar (lat:19.1730, lon:73.0244)",55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503
"11/11/2025, 2:35:19 PM",yahya,Location denied,55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503
"11/11/2025, 2:37:41 PM",yahya,"Amrut Nagar (lat:19.1729, lon:73.0244)",55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503
"11/11/2025, 5:12:55 PM",admin,"Chandivali (lat:19.1201, lon:72.8891)",55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503
"11/11/2025, 5:14:35 PM",admin,"Chandivali (lat:19.1201, lon:72.8891)",55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503
"11/11/2025, 5:24:29 PM","admin","Chandivali (lat:19.1201, lon:72.8891)","55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503"
"11/11/2025, 5:24:38 PM","admin","Chandivali (lat:19.1201, lon:72.8891)","55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503"
"11/11/2025, 5:25:43 PM","yahya","Chandivali (lat:19.1201, lon:72.8891)","55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503"
"11/11/2025, 5:36:07 PM","yahya","Chandivali (lat:19.1201, lon:72.8891)","55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503"
"11/11/2025, 5:38:35 PM","admin","Chandivali (lat:19.1201, lon:72.8891)","55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503"
"11/11/2025, 5:40:32 PM","yahya","Chandivali (lat:19.1201, lon:72.8891)","55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503"
"11/11/2025, 5:42:20 PM","admin","Chandivali (lat:19.1201, lon:72.8891)","55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503"
"11/11/2025, 5:56:54 PM","admin","Chandivali (lat:19.1201, lon:72.8891)","55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503"
"11/11/2025, 6:37:23 PM","admin","Chandivali (lat:19.1201, lon:72.8891)","55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503"
"11/11/2025, 6:44:47 PM","admin","Amrut Nagar (lat:19.1725, lon:73.0246)","55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503"
"11/11/2025, 7:03:25 PM","admin","Mumbai (lat:19.1201, lon:72.8891)","55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503"
"11/11/2025, 10:11:59 PM","yahya","Chandivali (lat:19.1201, lon:72.8891)","55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503"
"11/12/2025, 8:33:35 PM","yahya","Unknown","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/14/2025, 2:51:38 PM","yahya","Andheri East (lat:19.1070, lon:72.8498)","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/14/2025, 2:55:37 PM","admin","Andheri East (lat:19.1070, lon:72.8498)","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/14/2025, 4:13:54 PM","yahya","Andheri East (lat:19.1070, lon:72.8498)","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/14/2025, 4:14:04 PM","yahya","Andheri East (lat:19.1070, lon:72.8498)","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/14/2025, 4:16:12 PM","yahya","Andheri East (lat:19.1070, lon:72.8498)","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/14/2025, 4:44:36 PM","yahya","Andheri East (lat:19.1070, lon:72.8498)","46923E66-D80E-C943-9D3E-04453B5A6200","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/15/2025, 2:17:39 PM","admin","Kopri (lat:19.1857, lon:72.9711)","46923E66-D80E-C943-9D3E-04453B5A6200","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/15/2025, 2:29:58 PM","admin","Amrut Nagar (lat:19.1729, lon:73.0246)","46923E66-D80E-C943-9D3E-04453B5A6200","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/15/2025, 4:51:56 PM","yahya","Kopri (lat:19.1857, lon:72.9711)","46923E66-D80E-C943-9D3E-04453B5A6200","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/17/2025, 12:57:04 PM","admin","Amrut Nagar (lat:19.1639, lon:73.0306)","46923E66-D80E-C943-9D3E-04453B5A6200","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/17/2025, 12:57:54 PM","admin","Location denied","46923E66-D80E-C943-9D3E-04453B5A6200","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/17/2025, 1:00:01 PM","admin","Andheri East (lat:19.1201, lon:72.8498)","46923E66-D80E-C943-9D3E-04453B5A6200","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/17/2025, 1:59:50 PM","yahya","Amrut Nagar (lat:19.1729, lon:73.0245)","46923E66-D80E-C943-9D3E-04453B5A6200","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/17/2025, 9:52:03 PM","admin","Andheri East (lat:19.1201, lon:72.8498)","46923E66-D80E-C943-9D3E-04453B5A6200","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/19/2025, 9:01:39 PM","yahya","Location denied","46923E66-D80E-C943-9D3E-04453B5A6200","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/19/2025, 9:10:03 PM","admin","Asalpha (lat:19.0972, lon:72.8793)","46923E66-D80E-C943-9D3E-04453B5A6200","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/19/2025, 9:50:55 PM","yahya","Asalpha (lat:19.0972, lon:72.8793)","46923E66-D80E-C943-9D3E-04453B5A6200","46923E66-D80E-C943-9D3E-04453B5A6200"
"11/24/2025, 4:55:32 PM","admin","T Ward (lat:19.1529, lon:72.9580)","46923E66-D80E-C943-9D3E-04453B5A6200","46923E66-D80E-C943-9D3E-04453B5A6200"
